algorithm,project_env,seed,train_step,status,eval_return,n_repeats
td3,acrobot_swingup,1,5000,completed,14.116694177179625,3
td3,acrobot_swingup,1,10000,completed,2.0632025661567845,3
td3,acrobot_swingup,1,15000,completed,7.061623564351976,3
td3,acrobot_swingup,1,19999,completed,0.5120534955489155,3
td3,acrobot_swingup,2,0,completed,0.28668470501054105,3
td3,acrobot_swingup,2,5000,completed,11.506715298940739,3
td3,acrobot_swingup,2,10000,completed,0.8274768730335987,3
td3,acrobot_swingup,2,15000,completed,0.03584751128801137,3
td3,acrobot_swingup,2,19999,completed,18.159863772491615,3
td3,acrobot_swingup,3,0,completed,5.470626302986754,3
td3,acrobot_swingup,3,5000,completed,0.042111240252173325,3
td3,acrobot_swingup,3,10000,completed,0.7857526099590663,3
td3,acrobot_swingup,3,15000,completed,3.0327326693215606,3
td3,acrobot_swingup,3,19999,completed,3.8647429371873536,3
td3,acrobot_swingup,4,0,completed,14.317123356585702,3
td3,acrobot_swingup,4,5000,completed,8.424815972646078,3
td3,acrobot_swingup,4,10000,completed,0.06635922292844042,3
td3,acrobot_swingup,4,15000,completed,0.19941757343864688,3
td3,acrobot_swingup,4,19999,completed,7.850803944492881,3
td3,car_racing_continuous,0,1000,completed,-82.63621519416438,3
td3,car_racing_continuous,0,2000,completed,-83.60055289206367,3
td3,car_racing_continuous,0,3000,completed,-82.69906479824446,3
td3,car_racing_continuous,0,4000,completed,-81.82312024899885,3
td3,car_racing_continuous,0,5000,completed,-84.49394673954359,3
td3,car_racing_continuous,0,6000,completed,-82.97905625335132,3
td3,car_racing_continuous,0,7000,completed,-83.71241160292603,3
td3,car_racing_continuous,0,8000,completed,-83.9538875899009,3
td3,car_racing_continuous,0,9000,completed,-83.74360859776304,3
td3,car_racing_continuous,0,10000,completed,-84.29235287920635,3
td3,car_racing_continuous,1,1000,completed,-84.20131049925378,3
td3,car_racing_continuous,1,2000,completed,-84.2036520244011,3
td3,car_racing_continuous,1,3000,completed,-82.80680974988896,3
td3,car_racing_continuous,1,4000,completed,-85.11174407788253,3
td3,car_racing_continuous,1,5000,completed,-82.89067458396484,3
td3,car_racing_continuous,1,6000,completed,-84.01139294221007,3
td3,car_racing_continuous,1,7000,completed,-83.95624723227003,3
td3,car_racing_continuous,1,8000,completed,-83.29844147050173,3
td3,car_racing_continuous,1,9000,completed,-83.74034697644991,3
td3,car_racing_continuous,1,10000,completed,-83.2735961768215,3
td3,car_racing_continuous,2,1000,completed,-79.04959085083284,3
td3,car_racing_continuous,2,2000,completed,-65.78272107168378,3
td3,car_racing_continuous,2,3000,completed,-78.57005866159163,3
td3,car_racing_continuous,2,4000,completed,-46.12393634974191,3
td3,car_racing_continuous,2,5000,completed,-55.087695786341946,3
td3,car_racing_continuous,2,6000,completed,-46.59431180926398,3
td3,car_racing_continuous,2,7000,completed,-48.90620488079153,3
td3,car_racing_continuous,2,8000,completed,-81.7173323351059,3
td3,car_racing_continuous,2,9000,completed,-82.38821162939666,3
td3,car_racing_continuous,2,10000,completed,-57.04210803095243,3
td3,car_racing_continuous,3,1000,completed,-93.24271979664745,3
td3,car_racing_continuous,3,2000,completed,-93.11408035996152,3
td3,car_racing_continuous,3,3000,completed,-93.2092398979806,3
td3,car_racing_continuous,3,4000,completed,-92.7943187628698,3
td3,car_racing_continuous,3,5000,completed,-93.2516478910473,3
td3,car_racing_continuous,3,6000,completed,-93.10213093411528,3
td3,car_racing_continuous,3,7000,completed,-93.15020289654704,3
td3,car_racing_continuous,3,8000,completed,-93.19346479147681,3
td3,car_racing_continuous,3,9000,completed,-92.72410797834425,3
td3,car_racing_continuous,3,10000,completed,-93.63517355404117,3
td3,car_racing_continuous,4,1000,completed,-81.26794750610219,3
td3,car_racing_continuous,4,2000,completed,-82.13424120682141,3
td3,car_racing_continuous,4,3000,completed,-84.260032737329,3
td3,car_racing_continuous,4,4000,completed,-82.39732316449488,3
td3,car_racing_continuous,4,5000,completed,-81.86222302780114,3
td3,car_racing_continuous,4,6000,completed,-82.50999656895442,3
td3,car_racing_continuous,4,7000,completed,-82.94011030677298,3
td3,car_racing_continuous,4,8000,completed,-82.09885501675916,3
td3,car_racing_continuous,4,9000,completed,-84.17916310229242,3
td3,car_racing_continuous,4,10000,completed,-81.92562966126708,3
td3,cartpole_swingup,0,0,completed,62.0091552734375,3
td3,cartpole_swingup,0,5000,completed,136.2762654622396,3
td3,cartpole_swingup,0,10000,completed,152.1875457763672,3
td3,cartpole_swingup,0,15000,completed,131.57220713297525,3
td3,cartpole_swingup,0,19999,completed,183.4794667561849,3
td3,cartpole_swingup,1,0,completed,4.9340135256449384,3
td3,cartpole_swingup,1,5000,completed,122.4348653157552,3
td3,cartpole_swingup,1,10000,completed,144.85726928710938,3
td3,cartpole_swingup,1,15000,completed,130.09697977701822,3
td3,cartpole_swingup,1,19999,completed,152.0229237874349,3
td3,cartpole_swingup,2,0,completed,0.07526407266656553,3
td3,cartpole_swingup,2,5000,completed,137.1047617594401,3
td3,cartpole_swingup,2,10000,completed,152.25979614257812,3
td3,cartpole_swingup,2,15000,completed,166.18975830078125,3
td3,cartpole_swingup,2,19999,completed,191.53143310546875,3
td3,cartpole_swingup,3,0,completed,1.9847524166107178,3
td3,cartpole_swingup,3,5000,completed,101.38192494710286,3
td3,cartpole_swingup,3,10000,completed,202.91241963704428,3
td3,cartpole_swingup,3,15000,completed,236.48812357584634,3
td3,cartpole_swingup,3,19999,completed,329.3303731282552,3
td3,cartpole_swingup,4,0,completed,32.57785669962565,3
td3,cartpole_swingup,4,5000,completed,37.82043202718099,3
td3,cartpole_swingup,4,10000,completed,210.70122782389322,3
td3,cartpole_swingup,4,15000,completed,137.47535196940103,3
td3,cartpole_swingup,4,19999,completed,172.74586486816406,3
